# Miriade.ephemcc.results
# Request:
# targetType: Comet, targetName: 1P, targetOtherName: P/Halley, Diameter: 0.00 km, Orbital period: 2.77572892E+04 d, Time of perihelion passage: 2446470.95892940 d, Dynamical class: Short-period>Halley-type, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 2190
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
1P,   1900-01-01T00:00:00.00, 113 51  9.5093, -14 45 27.1513,   21.731191474,   5.40
1P,   1900-01-21T00:00:00.00, 113 48 23.3347, -14 44 59.5229,   21.668340107,   5.40
1P,   1900-02-10T00:00:00.00, 113 45 36.1743, -14 44 31.6949,   21.605252253,   5.40
1P,   1900-03-02T00:00:00.00, 113 42 48.0158, -14 44  3.6652,   21.541926421,   5.40
1P,   1900-03-22T00:00:00.00, 113 39 58.8450, -14 43 35.4318,   21.478361034,   5.40
1P,   1900-04-11T00:00:00.00, 113 37  8.6445, -14 43  6.9920,   21.414554831,   5.40
1P,   1900-05-01T00:00:00.00, 113 34 17.3989, -14 42 38.3419,   21.350506816,   5.40
1P,   1900-05-21T00:00:00.00, 113 31 25.0948, -14 42  9.4773,   21.286216031,   5.40
1P,   1900-06-10T00:00:00.00, 113 28 31.7208, -14 41 40.3944,   21.221681415,   5.40
1P,   1900-06-30T00:00:00.00, 113 25 37.2644, -14 41 11.0894,   21.156901820,   5.40
1P,   1900-07-20T00:00:00.00, 113 22 41.7153, -14 40 41.5579,   21.091876185,   5.40
1P,   1900-08-09T00:00:00.00, 113 19 45.0649, -14 40 11.7961,   21.026603188,   5.40
1P,   1900-08-29T00:00:00.00, 113 16 47.3047, -14 39 41.8009,   20.961081215,   5.40
1P,   1900-09-18T00:00:00.00, 113 13 48.4233, -14 39 11.5703,   20.895308334,   5.40
1P,   1900-10-08T00:00:00.00, 113 10 48.4057, -14 38 41.1017,   20.829282768,   5.40
1P,   1900-10-28T00:00:00.00, 113  7 47.2370, -14 38 10.3922,   20.763002766,   5.40
1P,   1900-11-17T00:00:00.00, 113  4 44.9007, -14 37 39.4389,   20.696466596,   5.40
1P,   1900-12-07T00:00:00.00, 113  1 41.3795, -14 37  8.2387,   20.629672509,   5.40
1P,   1900-12-27T00:00:00.00, 112 58 36.6531, -14 36 36.7881,   20.562618993,   5.40
1P,   1901-01-16T00:00:00.00, 112 55 30.7040, -14 36  5.0820,   20.495304807,   5.40
1P,   1901-02-05T00:00:00.00, 112 52 23.5166, -14 35 33.1155,   20.427728648,   5.40
1P,   1901-02-25T00:00:00.00, 112 49 15.0776, -14 35  0.8839,   20.359889037,   5.40
1P,   1901-03-17T00:00:00.00, 112 46  5.3714, -14 34 28.3834,   20.291784274,   5.40
1P,   1901-04-06T00:00:00.00, 112 42 54.3826, -14 33 55.6093,   20.223412776,   5.40
1P,   1901-04-26T00:00:00.00, 112 39 42.0965, -14 33 22.5574,   20.154772796,   5.40
1P,   1901-05-16T00:00:00.00, 112 36 28.4977, -14 32 49.2238,   20.085862424,   5.40
1P,   1901-06-05T00:00:00.00, 112 33 13.5682, -14 32 15.6052,   20.016679568,   5.40
1P,   1901-06-25T00:00:00.00, 112 29 57.2865, -14 31 41.6977,   19.947222375,   5.40
1P,   1901-07-15T00:00:00.00, 112 26 39.6322, -14 31  7.4961,   19.877489190,   5.40
1P,   1901-08-04T00:00:00.00, 112 23 20.5865, -14 30 32.9953,   19.807478373,   5.40
1P,   1901-08-24T00:00:00.00, 112 20  0.1315, -14 29 58.1900,   19.737188181,   5.40
1P,   1901-09-13T00:00:00.00, 112 16 38.2480, -14 29 23.0752,   19.666616814,   5.40
1P,   1901-10-03T00:00:00.00, 112 13 14.9185, -14 28 47.6449,   19.595762570,   5.40
1P,   1901-10-23T00:00:00.00, 112  9 50.1274, -14 28 11.8936,   19.524623496,   5.40
1P,   1901-11-12T00:00:00.00, 112  6 23.8588, -14 27 35.8167,   19.453197350,   5.40
1P,   1901-12-02T00:00:00.00, 112  2 56.0934, -14 26 59.4104,   19.381481580,   5.40
1P,   1901-12-22T00:00:00.00, 111 59 26.8080, -14 26 22.6704,   19.309473792,   5.40
1P,   1902-01-11T00:00:00.00, 111 55 55.9792, -14 25 45.5917,   19.237171615,   5.40
1P,   1902-01-31T00:00:00.00, 111 52 23.5817, -14 25  8.1695,   19.164572701,   5.40
1P,   1902-02-20T00:00:00.00, 111 48 49.5891, -14 24 30.3987,   19.091674698,   5.40
1P,   1902-03-12T00:00:00.00, 111 45 13.9715, -14 23 52.2735,   19.018475519,   5.40
1P,   1902-04-01T00:00:00.00, 111 41 36.7022, -14 23 13.7865,   18.944973360,   5.40
1P,   1902-04-21T00:00:00.00, 111 37 57.7574, -14 22 34.9300,   18.871166350,   5.40
1P,   1902-05-11T00:00:00.00, 111 34 17.1154, -14 21 55.6969,   18.797052414,   5.40
1P,   1902-05-31T00:00:00.00, 111 30 34.7528, -14 21 16.0807,   18.722629214,   5.40
1P,   1902-06-20T00:00:00.00, 111 26 50.6464, -14 20 36.0743,   18.647894466,   5.40
1P,   1902-07-10T00:00:00.00, 111 23  4.7738, -14 19 55.6709,   18.572845637,   5.40
1P,   1902-07-30T00:00:00.00, 111 19 17.1114, -14 19 14.8645,   18.497479949,   5.40
1P,   1902-08-19T00:00:00.00, 111 15 27.6320, -14 18 33.6497,   18.421794367,   5.40
1P,   1902-09-08T00:00:00.00, 111 11 36.3035, -14 17 52.0205,   18.345786041,   5.40
1P,   1902-09-28T00:00:00.00, 111  7 43.0944, -14 17  9.9696,   18.269452275,   5.40
1P,   1902-10-18T00:00:00.00, 111  3 47.9727, -14 16 27.4895,   18.192790385,   5.40
1P,   1902-11-07T00:00:00.00, 110 59 50.9067, -14 15 44.5728,   18.115797618,   5.40
1P,   1902-11-27T00:00:00.00, 110 55 51.8623, -14 15  1.2115,   18.038471228,   5.40
1P,   1902-12-17T00:00:00.00, 110 51 50.8067, -14 14 17.3966,   17.960808627,   5.40
1P,   1903-01-06T00:00:00.00, 110 47 47.7093, -14 13 33.1192,   17.882807023,   5.40
1P,   1903-01-26T00:00:00.00, 110 43 42.5391, -14 12 48.3708,   17.804463374,   5.40
1P,   1903-02-15T00:00:00.00, 110 39 35.2619, -14 12  3.1441,   17.725774339,   5.40
1P,   1903-03-07T00:00:00.00, 110 35 25.8397, -14 11 17.4304,   17.646736722,   5.40
1P,   1903-03-27T00:00:00.00, 110 31 14.2349, -14 10 31.2211,   17.567347285,   5.40
1P,   1903-04-16T00:00:00.00, 110 27  0.4075, -14  9 44.5073,   17.487602734,   5.40
1P,   1903-05-06T00:00:00.00, 110 22 44.3158, -14  8 57.2802,   17.407499693,   5.40
1P,   1903-05-26T00:00:00.00, 110 18 25.9141, -14  8  9.5299,   17.327034989,   5.40
1P,   1903-06-15T00:00:00.00, 110 14  5.1588, -14  7 21.2449,   17.246205678,   5.40
1P,   1903-07-05T00:00:00.00, 110  9 42.0087, -14  6 32.4137,   17.165008716,   5.40
1P,   1903-07-25T00:00:00.00, 110  5 16.4243, -14  5 43.0246,   17.083440828,   5.40
1P,   1903-08-14T00:00:00.00, 110  0 48.3635, -14  4 53.0668,   17.001498456,   5.40
1P,   1903-09-03T00:00:00.00, 109 56 17.7836, -14  4  2.5285,   16.919178061,   5.40
1P,   1903-09-23T00:00:00.00, 109 51 44.6425, -14  3 11.3982,   16.836475807,   5.40
1P,   1903-10-13T00:00:00.00, 109 47  8.8954, -14  2 19.6651,   16.753387566,   5.40
1P,   1903-11-02T00:00:00.00, 109 42 30.4927, -14  1 27.3189,   16.669908905,   5.40
1P,   1903-11-22T00:00:00.00, 109 37 49.3782, -14  0 34.3487,   16.586035554,   5.40
1P,   1903-12-12T00:00:00.00, 109 33  5.4944, -13 59 40.7418,   16.501763375,   5.40
1P,   1904-01-01T00:00:00.00, 109 28 18.7824, -13 58 46.4852,   16.417088260,   5.40
1P,   1904-01-21T00:00:00.00, 109 23 29.1818, -13 57 51.5651,   16.332006071,   5.40
1P,   1904-02-10T00:00:00.00, 109 18 36.6290, -13 56 55.9673,   16.246512737,   5.40
1P,   1904-03-01T00:00:00.00, 109 13 41.0620, -13 55 59.6752,   16.160604376,   5.40
1P,   1904-03-21T00:00:00.00, 109  8 42.4210, -13 55  2.6725,   16.074276899,   5.40
1P,   1904-04-10T00:00:00.00, 109  3 40.6463, -13 54  4.9430,   15.987525919,   5.40
1P,   1904-04-30T00:00:00.00, 108 58 35.6743, -13 53  6.4713,   15.900346675,   5.40
1P,   1904-05-20T00:00:00.00, 108 53 27.4373, -13 52  7.2409,   15.812734448,   5.40
1P,   1904-06-09T00:00:00.00, 108 48 15.8667, -13 51  7.2348,   15.724684341,   5.40
1P,   1904-06-29T00:00:00.00, 108 43  0.8905, -13 50  6.4362,   15.636191278,   5.40
1P,   1904-07-19T00:00:00.00, 108 37 42.4323, -13 49  4.8281,   15.547249990,   5.40
1P,   1904-08-08T00:00:00.00, 108 32 20.4091, -13 48  2.3920,   15.457855343,   5.40
1P,   1904-08-28T00:00:00.00, 108 26 54.7380, -13 46 59.1078,   15.368002378,   5.40
1P,   1904-09-17T00:00:00.00, 108 21 25.3366, -13 45 54.9541,   15.277686012,   5.40
1P,   1904-10-07T00:00:00.00, 108 15 52.1217, -13 44 49.9095,   15.186900923,   5.40
1P,   1904-10-27T00:00:00.00, 108 10 15.0058, -13 43 43.9526,   15.095641513,   5.40
1P,   1904-11-16T00:00:00.00, 108  4 33.8992, -13 42 37.0604,   15.003902190,   5.40
1P,   1904-12-06T00:00:00.00, 107 58 48.7109, -13 41 29.2096,   14.911677038,   5.40
1P,   1904-12-26T00:00:00.00, 107 52 59.3455, -13 40 20.3768,   14.818959824,   5.40
1P,   1905-01-15T00:00:00.00, 107 47  5.7007, -13 39 10.5393,   14.725743973,   5.40
1P,   1905-02-04T00:00:00.00, 107 41  7.6647, -13 37 59.6721,   14.632023037,   5.40
1P,   1905-02-24T00:00:00.00, 107 35  5.1233, -13 36 47.7485,   14.537790625,   5.40
1P,   1905-03-16T00:00:00.00, 107 28 57.9582, -13 35 34.7406,   14.443040310,   5.40
1P,   1905-04-05T00:00:00.00, 107 22 46.0478, -13 34 20.6191,   14.347765559,   5.40
1P,   1905-04-25T00:00:00.00, 107 16 29.2644, -13 33  5.3531,   14.251959841,   5.40
1P,   1905-05-15T00:00:00.00, 107 10  7.4805, -13 31 48.9091,   14.155616721,   5.40
1P,   1905-06-04T00:00:00.00, 107  3 40.5685, -13 30 31.2527,   14.058729446,   5.40
1P,   1905-06-24T00:00:00.00, 106 57  8.3988, -13 29 12.3490,   13.961290841,   5.40
1P,   1905-07-14T00:00:00.00, 106 50 30.8343, -13 27 52.1632,   13.863293236,   5.40
1P,   1905-08-03T00:00:00.00, 106 43 47.7304, -13 26 30.6586,   13.764728854,   5.40
1P,   1905-08-23T00:00:00.00, 106 36 58.9379, -13 25  7.7973,   13.665589589,   5.40
1P,   1905-09-12T00:00:00.00, 106 30  4.2996, -13 23 43.5406,   13.565867001,   5.40
1P,   1905-10-02T00:00:00.00, 106 23  3.6483, -13 22 17.8488,   13.465552317,   5.40
1P,   1905-10-22T00:00:00.00, 106 15 56.8040, -13 20 50.6796,   13.364636792,   5.40
1P,   1905-11-11T00:00:00.00, 106  8 43.5820, -13 19 21.9870,   13.263111760,   5.40
1P,   1905-12-01T00:00:00.00, 106  1 23.7919, -13 17 51.7229,   13.160968364,   5.40
1P,   1905-12-21T00:00:00.00, 105 53 57.2378, -13 16 19.8371,   13.058197459,   5.40
1P,   1906-01-10T00:00:00.00, 105 46 23.7135, -13 14 46.2774,   12.954789579,   5.40
1P,   1906-01-30T00:00:00.00, 105 38 43.0062, -13 13 10.9881,   12.850735186,   5.40
1P,   1906-02-19T00:00:00.00, 105 30 54.8969, -13 11 33.9114,   12.746024293,   5.40
1P,   1906-03-11T00:00:00.00, 105 22 59.1573, -13  9 54.9876,   12.640646430,   5.40
1P,   1906-03-31T00:00:00.00, 105 14 55.5452, -13  8 14.1558,   12.534590585,   5.40
1P,   1906-04-20T00:00:00.00, 105  6 43.8024, -13  6 31.3509,   12.427845634,   5.40
1P,   1906-05-10T00:00:00.00, 104 58 23.6603, -13  4 46.5041,   12.320400227,   5.40
1P,   1906-05-30T00:00:00.00, 104 49 54.8376, -13  2 59.5429,   12.212242700,   5.40
1P,   1906-06-19T00:00:00.00, 104 41 17.0400, -13  1 10.3915,   12.103361013,   5.40
1P,   1906-07-09T00:00:00.00, 104 32 29.9558, -12 59 18.9696,   11.993742900,   5.40
1P,   1906-07-29T00:00:00.00, 104 23 33.2637, -12 57 25.1906,   11.883375948,   5.40
1P,   1906-08-18T00:00:00.00, 104 14 26.6313, -12 55 28.9641,   11.772247174,   5.40
1P,   1906-09-07T00:00:00.00, 104  5  9.7122, -12 53 30.1958,   11.660342916,   5.40
1P,   1906-09-27T00:00:00.00, 103 55 42.1391, -12 51 28.7877,   11.547648749,   5.40
1P,   1906-10-17T00:00:00.00, 103 46  3.5232, -12 49 24.6359,   11.434149851,   5.40
1P,   1906-11-06T00:00:00.00, 103 36 13.4559, -12 47 17.6307,   11.319830743,   5.40
1P,   1906-11-26T00:00:00.00, 103 26 11.5037, -12 45  7.6571,   11.204675280,   5.40
1P,   1906-12-16T00:00:00.00, 103 15 57.2044, -12 42 54.5944,   11.088666649,   5.40
1P,   1907-01-05T00:00:00.00, 103  5 30.0627, -12 40 38.3132,   10.971787740,   5.40
1P,   1907-01-25T00:00:00.00, 102 54 49.5582, -12 38 18.6742,   10.854021161,   5.40
1P,   1907-02-14T00:00:00.00, 102 43 55.1438, -12 35 55.5290,   10.735348968,   5.40
1P,   1907-03-06T00:00:00.00, 102 32 46.2442, -12 33 28.7200,   10.615752528,   5.40
1P,   1907-03-26T00:00:00.00, 102 21 22.2488, -12 30 58.0800,   10.495212461,   5.40
1P,   1907-04-15T00:00:00.00, 102  9 42.5149, -12 28 23.4294,   10.373708802,   5.40
1P,   1907-05-05T00:00:00.00, 101 57 46.3654, -12 25 44.5775,   10.251220549,   5.40
1P,   1907-05-25T00:00:00.00, 101 45 33.0819, -12 23  1.3227,   10.127725577,   5.40
1P,   1907-06-14T00:00:00.00, 101 33  1.8955, -12 20 13.4514,   10.003200536,   5.40
1P,   1907-07-04T00:00:00.00, 101 20 11.9802, -12 17 20.7347,    9.877621245,   5.40
1P,   1907-07-24T00:00:00.00, 101  7  2.4562, -12 14 22.9268,    9.750962520,   5.40
1P,   1907-08-13T00:00:00.00, 100 53 32.3813, -12 11 19.7647,    9.623198049,   5.40
1P,   1907-09-02T00:00:00.00, 100 39 40.7456, -12  8 10.9662,    9.494300324,   5.40
1P,   1907-09-22T00:00:00.00, 100 25 26.4615, -12  4 56.2273,    9.364240773,   5.40
1P,   1907-10-12T00:00:00.00, 100 10 48.3671, -12  1 35.2183,    9.232989765,   5.40
1P,   1907-11-01T00:00:00.00,  99 55 45.2191, -11 58  7.5838,    9.100516130,   5.40
1P,   1907-11-21T00:00:00.00,  99 40 15.6815, -11 54 32.9408,    8.966786972,   5.40
1P,   1907-12-11T00:00:00.00,  99 24 18.3089, -11 50 50.8766,    8.831767500,   5.40
1P,   1907-12-31T00:00:00.00,  99  7 51.5374, -11 47  0.9422,    8.695421280,   5.40
1P,   1908-01-20T00:00:00.00,  98 50 53.6759, -11 43  2.6504,    8.557709816,   5.40
1P,   1908-02-09T00:00:00.00,  98 33 22.8869, -11 38 55.4715,    8.418592406,   5.40
1P,   1908-02-29T00:00:00.00,  98 15 17.1675, -11 34 38.8289,    8.278025985,   5.40
1P,   1908-03-20T00:00:00.00,  97 56 34.3274, -11 30 12.0902,    8.135965336,   5.40
1P,   1908-04-09T00:00:00.00,  97 37 11.9809, -11 25 34.5600,    7.992362874,   5.40
1P,   1908-04-29T00:00:00.00,  97 17  7.5213, -11 20 45.4739,    7.847168182,   5.40
1P,   1908-05-19T00:00:00.00,  96 56 18.0942, -11 15 43.9895,    7.700327663,   5.40
1P,   1908-06-08T00:00:00.00,  96 34 40.5589, -11 10 29.1769,    7.551784262,   5.40
1P,   1908-06-28T00:00:00.00,  96 12 11.4590, -11  5  0.0036,    7.401477305,   5.40
1P,   1908-07-18T00:00:00.00,  95 48 46.9784, -10 59 15.3238,    7.249341719,   5.40
1P,   1908-08-07T00:00:00.00,  95 24 22.8835, -10 53 13.8615,    7.095307586,   5.40
1P,   1908-08-27T00:00:00.00,  94 58 54.4535, -10 46 54.1919,    6.939299653,   5.40
1P,   1908-09-16T00:00:00.00,  94 32 16.4045, -10 40 14.7138,    6.781237268,   5.40
1P,   1908-10-06T00:00:00.00,  94  4 22.8112, -10 33 13.6216,    6.621033623,   5.40
1P,   1908-10-26T00:00:00.00,  93 35  6.9969, -10 25 48.8715,    6.458595059,   5.40
1P,   1908-11-15T00:00:00.00,  93  4 21.4052, -10 17 58.1398,    6.293820302,   5.40
1P,   1908-12-05T00:00:00.00,  92 31 57.4409, -10  9 38.7693,    6.126599830,   5.40
1P,   1908-12-25T00:00:00.00,  91 57 45.2988, -10  0 47.7048,    5.956814868,   5.40
1P,   1909-01-14T00:00:00.00,  91 21 33.7291, -09 51 21.4175,    5.784335774,   5.40
1P,   1909-02-03T00:00:00.00,  90 43  9.7446, -09 41 15.8081,    5.609020499,   5.40
1P,   1909-02-23T00:00:00.00,  90  2 18.2438, -09 30 26.0842,    5.430712828,   5.40
1P,   1909-03-15T00:00:00.00,  89 18 41.5489, -09 18 46.5984,    5.249240680,   5.40
1P,   1909-04-04T00:00:00.00,  88 31 58.8103, -09  6 10.6478,    5.064413334,   5.40
1P,   1909-04-24T00:00:00.00,  87 41 45.2169, -08 52 30.2076,    4.876018549,   5.40
1P,   1909-05-14T00:00:00.00,  86 47 30.9569, -08 37 35.5802,    4.683819086,   5.40
1P,   1909-06-03T00:00:00.00,  85 48 39.8336, -08 21 14.9175,    4.487548898,   5.40
1P,   1909-06-23T00:00:00.00,  84 44 27.4061, -08  3 13.5742,    4.286907845,   5.40
1P,   1909-07-13T00:00:00.00,  83 33 58.3820, -07 43 13.2123,    4.081555097,   5.40
1P,   1909-08-02T00:00:00.00,  82 16  2.9290, -07 20 50.5304,    3.871101121,   5.40
1P,   1909-08-22T00:00:00.00,  80 49 11.3183, -06 55 35.4193,    3.655097857,   5.40
1P,   1909-09-11T00:00:00.00,  79 11 25.9790, -06 26 48.2181,    3.433026476,   5.40
1P,   1909-10-01T00:00:00.00,  77 20  9.2508, -05 53 35.5234,    3.204281663,   5.40
1P,   1909-10-21T00:00:00.00,  75 11 43.8507, -05 14 43.5547,    2.968153107,   5.40
1P,   1909-11-10T00:00:00.00,  72 41  0.3542, -04 28 27.2511,    2.723804392,   5.40
1P,   1909-11-30T00:00:00.00,  69 40 20.2333, -03 32 11.5453,    2.470253084,   5.40
1P,   1909-12-20T00:00:00.00,  65 57 49.5345, -02 21 57.5680,    2.206363310,   5.40
1P,   1910-01-09T00:00:00.00,  61 13 44.2691, -00 51 18.1504,    1.930893037,   5.40
1P,   1910-01-29T00:00:00.00,  54 52 32.6986, +01 10 52.1487,    1.642735305,   5.40
1P,   1910-02-18T00:00:00.00,  45 42 51.4263, +04  4 44.1948,    1.341871007,   5.40
1P,   1910-03-10T00:00:00.00,  30 58 51.2405, +08 26 45.4815,    1.033226650,   5.40
1P,   1910-03-30T00:00:00.00,   3 16 46.2882, +14 46  3.7603,    0.744005965,   5.40
1P,   1910-04-19T00:00:00.00, 309 36 47.3437, +16 52 25.5704,    0.587791300,   5.40
1P,   1910-05-09T00:00:00.00, 255 35 12.1591, +05 21 50.4297,    0.714822226,   5.40
1P,   1910-05-29T00:00:00.00, 226 50 27.0851, -03 43 40.3514,    0.996970835,   5.40
1P,   1910-06-18T00:00:00.00, 211  9  3.8978, -08 23 56.0509,    1.305558370,   5.40
1P,   1910-07-08T00:00:00.00, 201 16  6.8591, -10 59 47.6679,    1.607783320,   5.40
1P,   1910-07-28T00:00:00.00, 194 22 27.6326, -12 36  2.0932,    1.897493128,   5.40
1P,   1910-08-17T00:00:00.00, 189 13 22.7058, -13 40 23.8503,    2.174429668,   5.40
1P,   1910-09-06T00:00:00.00, 185 11  4.6214, -14 26  2.4682,    2.439645606,   5.40
1P,   1910-09-26T00:00:00.00, 181 54 20.9786, -14 59 51.8462,    2.694385346,   5.40
1P,   1910-10-16T00:00:00.00, 179 10 19.2418, -15 25 47.3842,    2.939800287,   5.40
1P,   1910-11-05T00:00:00.00, 176 50 40.9297, -15 46 11.9619,    3.176889345,   5.40
1P,   1910-11-25T00:00:00.00, 174 49 48.5240, -16  2 36.9536,    3.406503413,   5.40
1P,   1910-12-15T00:00:00.00, 173  3 44.4558, -16 16  3.3448,    3.629365298,   5.40
1P,   1911-01-04T00:00:00.00, 171 29 36.0765, -16 27 13.3077,    3.846090998,   5.40
1P,   1911-01-24T00:00:00.00, 170  5 14.5188, -16 36 36.8898,    4.057208376,   5.40
1P,   1911-02-13T00:00:00.00, 168 49  1.3691, -16 44 36.0470,    4.263172857,   5.40
1P,   1911-03-05T00:00:00.00, 167 39 40.0049, -16 51 27.1731,    4.464380295,   5.40
1P,   1911-03-25T00:00:00.00, 166 36  9.7544, -16 57 22.7456,    4.661176897,   5.40
1P,   1911-04-14T00:00:00.00, 165 37 41.8603, -17  2 32.4220,    4.853867315,   5.40
1P,   1911-05-04T00:00:00.00, 164 43 36.6108, -17  7  3.7884,    5.042721143,   5.40
1P,   1911-05-24T00:00:00.00, 163 53 21.2855, -17 11  2.8747,    5.227978733,   5.40
1P,   1911-06-13T00:00:00.00, 163  6 28.6560, -17 14 34.5319,    5.409855418,   5.40
1P,   1911-07-03T00:00:00.00, 162 22 35.8554, -17 17 42.7038,    5.588545004,   5.40
1P,   1911-07-23T00:00:00.00, 161 41 23.5166, -17 20 30.6311,    5.764222453,   5.40
1P,   1911-08-12T00:00:00.00, 161  2 35.1031, -17 23  0.9964,    5.937046566,   5.40
1P,   1911-09-01T00:00:00.00, 160 25 56.4091, -17 25 16.0386,    6.107161992,   5.40
1P,   1911-09-21T00:00:00.00, 159 51 15.1510, -17 27 17.6426,    6.274700736,   5.40
1P,   1911-10-11T00:00:00.00, 159 18 20.6425, -17 29  7.4093,    6.439783467,   5.40
1P,   1911-10-31T00:00:00.00, 158 47  3.5207, -17 30 46.7058,    6.602520822,   5.40
1P,   1911-11-20T00:00:00.00, 158 17 15.5456, -17 32 16.7024,    6.763014869,   5.40
1P,   1911-12-10T00:00:00.00, 157 48 49.4325, -17 33 38.4082,    6.921359911,   5.40
1P,   1911-12-30T00:00:00.00, 157 21 38.7135, -17 34 52.6970,    7.077643345,   5.40
1P,   1912-01-19T00:00:00.00, 156 55 37.6168, -17 36  0.3299,    7.231946288,   5.40
1P,   1912-02-08T00:00:00.00, 156 30 40.9733, -17 37  1.9673,    7.384344634,   5.40
1P,   1912-02-28T00:00:00.00, 156  6 44.1487, -17 37 58.1859,    7.534909437,   5.40
1P,   1912-03-19T00:00:00.00, 155 43 42.9758, -17 38 49.4929,    7.683707223,   5.40
1P,   1912-04-08T00:00:00.00, 155 21 33.6951, -17 39 36.3382,    7.830800145,   5.40
1P,   1912-04-28T00:00:00.00, 155  0 12.8954, -17 40 19.1211,    7.976246492,   5.40
1P,   1912-05-18T00:00:00.00, 154 39 37.4816, -17 40 58.1955,    8.120101120,   5.40
1P,   1912-06-07T00:00:00.00, 154 19 44.6356, -17 41 33.8787,    8.262415545,   5.40
1P,   1912-06-27T00:00:00.00, 154  0 31.7845, -17 42  6.4569,    8.403238144,   5.40
1P,   1912-07-17T00:00:00.00, 153 41 56.5635, -17 42 36.1885,    8.542614405,   5.40
1P,   1912-08-06T00:00:00.00, 153 23 56.7977, -17 43  3.3029,    8.680587610,   5.40
1P,   1912-08-26T00:00:00.00, 153  6 30.4885, -17 43 28.0059,    8.817198875,   5.40
1P,   1912-09-15T00:00:00.00, 152 49 35.7976, -17 43 50.4826,    8.952487279,   5.40
1P,   1912-10-05T00:00:00.00, 152 33 11.0289, -17 44 10.9018,    9.086489806,   5.40
1P,   1912-10-25T00:00:00.00, 152 17 14.6111, -17 44 29.4149,    9.219241760,   5.40
1P,   1912-11-14T00:00:00.00, 152  1 45.0950, -17 44 46.1588,    9.350776796,   5.40
1P,   1912-12-04T00:00:00.00, 151 46 41.1394, -17 45  1.2592,    9.481126828,   5.40
1P,   1912-12-24T00:00:00.00, 151 32  1.4996, -17 45 14.8337,    9.610321983,   5.40
1P,   1913-01-13T00:00:00.00, 151 17 45.0085, -17 45 26.9913,    9.738390806,   5.40
1P,   1913-02-02T00:00:00.00, 151  3 50.5752, -17 45 37.8308,    9.865360678,   5.40
1P,   1913-02-22T00:00:00.00, 150 50 17.1796, -17 45 47.4427,    9.991257764,   5.40
1P,   1913-03-14T00:00:00.00, 150 37  3.8662, -17 45 55.9105,   10.116107120,   5.40
1P,   1913-04-03T00:00:00.00, 150 24  9.7351, -17 46  3.3114,   10.239932719,   5.40
1P,   1913-04-23T00:00:00.00, 150 11 33.9397, -17 46  9.7132,   10.362757940,   5.40
1P,   1913-05-13T00:00:00.00, 149 59 15.6908, -17 46 15.1764,   10.484605436,   5.40
1P,   1913-06-02T00:00:00.00, 149 47 14.2528, -17 46 19.7569,   10.605497020,   5.40
1P,   1913-06-22T00:00:00.00, 149 35 28.9380, -17 46 23.5077,   10.725453457,   5.40
1P,   1913-07-12T00:00:00.00, 149 23 59.0964, -17 46 26.4781,   10.844494667,   5.40
1P,   1913-08-01T00:00:00.00, 149 12 44.1194, -17 46 28.7133,   10.962639830,   5.40
1P,   1913-08-21T00:00:00.00, 149  1 43.4349, -17 46 30.2569,   11.079907210,   5.40
1P,   1913-09-10T00:00:00.00, 148 50 56.5025, -17 46 31.1512,   11.196314141,   5.40
1P,   1913-09-30T00:00:00.00, 148 40 22.8038, -17 46 31.4375,   11.311877096,   5.40
1P,   1913-10-20T00:00:00.00, 148 30  1.8442, -17 46 31.1522,   11.426612185,   5.40
1P,   1913-11-09T00:00:00.00, 148 19 53.1550, -17 46 30.3286,   11.540535042,   5.40
1P,   1913-11-29T00:00:00.00, 148  9 56.2927, -17 46 28.9973,   11.653660843,   5.40
1P,   1913-12-19T00:00:00.00, 148  0 10.8355, -17 46 27.1876,   11.766004170,   5.40
1P,   1914-01-08T00:00:00.00, 147 50 36.3805, -17 46 24.9250,   11.877579361,   5.40
1P,   1914-01-28T00:00:00.00, 147 41 12.5499, -17 46 22.2323,   11.988400401,   5.40
1P,   1914-02-17T00:00:00.00, 147 31 58.9877, -17 46 19.1314,   12.098480754,   5.40
1P,   1914-03-09T00:00:00.00, 147 22 55.3575, -17 46 15.6446,   12.207833209,   5.40
1P,   1914-03-29T00:00:00.00, 147 14  1.3339, -17 46 11.7936,   12.316470006,   5.40
1P,   1914-04-18T00:00:00.00, 147  5 16.6063, -17 46  7.5980,   12.424403123,   5.40
1P,   1914-05-08T00:00:00.00, 146 56 40.8788, -17 46  3.0766,   12.531644111,   5.40
1P,   1914-05-28T00:00:00.00, 146 48 13.8682, -17 45 58.2474,   12.638204130,   5.40
1P,   1914-06-17T00:00:00.00, 146 39 55.3000, -17 45 53.1283,   12.744093927,   5.40
1P,   1914-07-07T00:00:00.00, 146 31 44.9093, -17 45 47.7334,   12.849324291,   5.40
1P,   1914-07-27T00:00:00.00, 146 23 42.4470, -17 45 42.0748,   12.953905878,   5.40
1P,   1914-08-16T00:00:00.00, 146 15 47.6788, -17 45 36.1639,   13.057849073,   5.40
1P,   1914-09-05T00:00:00.00, 146  8  0.3837, -17 45 30.0125,   13.161163759,   5.40
